city,local_date,aqi,pm2_5,pm10,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,shortwave_radiation,year,month,season,aqi_daily_change,aqi_change_rate_pct
abbottabad,2024-07-25,152.89473684210526,56.626315789473686,96.91578947368421,15.11578947368421,139.89473684210526,7.463157894736843,469.42105263157896,27.563157894736843,70.47368421052632,21.53684210526316,31.5,0.010526315789473684,0.010526315789473684,869.5052631578947,11.0,7.631578947368421,201.10526315789474,357.63157894736844,2024,7,Monsoon,,
abbottabad,2024-07-26,147.375,47.145833333333336,80.45833333333333,17.75,116.66666666666667,5.8625,481.4166666666667,27.34583333333333,73.70833333333333,22.0,31.541666666666668,0.016666666666666666,0.016666666666666666,870.7166666666667,13.541666666666666,6.9125000000000005,197.33333333333334,276.0,2024,7,Monsoon,-5.51973684210526,-3.610154905335626
abbottabad,2024-07-27,120.95833333333333,40.53333333333333,73.02916666666667,13.670833333333334,119.625,6.2625,419.6666666666667,27.287499999999998,77.79166666666667,22.916666666666668,32.00833333333333,0.04583333333333334,0.04583333333333334,872.9125,31.666666666666668,5.779166666666666,177.79166666666666,240.75,2024,7,Monsoon,-26.41666666666667,-17.924795024031667
abbottabad,2024-07-28,109.75,31.0125,53.90833333333333,8.758333333333333,127.75,4.554166666666666,346.8333333333333,25.641666666666666,87.79166666666667,23.400000000000002,30.683333333333334,0.12083333333333333,0.12083333333333333,873.8125,79.83333333333333,4.6125,187.875,169.91666666666666,2024,7,Monsoon,-11.208333333333329,-9.266276265931792
abbottabad,2024-07-29,94.33333333333333,33.78333333333333,54.512499999999996,16.745833333333334,90.66666666666667,5.2,446.4166666666667,25.379166666666666,88.625,23.2625,30.412499999999998,0.3791666666666667,0.3791666666666667,873.6416666666668,92.08333333333333,4.195833333333334,169.875,155.70833333333334,2024,7,Monsoon,-15.416666666666671,-14.047076689445714
abbottabad,2024-07-30,98.33333333333333,30.462500000000002,44.02916666666667,19.708333333333332,86.91666666666667,5.375,494.6666666666667,25.1375,89.5,23.2375,30.254166666666666,0.4291666666666667,0.4291666666666667,874.6750000000001,83.08333333333333,3.4,174.04166666666666,144.0,2024,7,Monsoon,4.0,4.240282685512367
abbottabad,2024-07-31,102.375,27.833333333333332,41.375,20.341666666666665,107.625,4.3500000000000005,501.3333333333333,26.579166666666666,79.58333333333333,22.620833333333334,31.3625,0.016666666666666666,0.016666666666666666,873.6708333333332,10.291666666666666,5.316666666666666,184.375,276.0416666666667,2024,7,Monsoon,4.041666666666671,4.110169491525429
abbottabad,2024-08-01,88.0,22.258333333333336,32.84166666666667,14.316666666666668,101.875,3.6208333333333336,451.8333333333333,24.3,89.54166666666667,22.416666666666668,28.741666666666664,1.9749999999999999,1.9749999999999999,872.7125,78.375,4.708333333333333,175.04166666666666,136.125,2024,8,Monsoon,-14.375,-14.041514041514041
abbottabad,2024-08-02,90.83333333333333,22.8875,33.112500000000004,22.229166666666668,96.20833333333333,4.641666666666667,526.625,24.808333333333334,85.08333333333333,22.020833333333332,29.2375,0.5625,0.5625,872.9375,63.041666666666664,4.6875,153.66666666666666,224.08333333333334,2024,8,Monsoon,2.8333333333333286,3.219696969696964
abbottabad,2024-08-03,84.125,21.825,31.329166666666666,14.316666666666668,103.20833333333333,5.120833333333334,435.7083333333333,24.204166666666666,87.91666666666667,22.041666666666668,28.53333333333333,0.3,0.3,874.3375,63.791666666666664,4.891666666666667,175.41666666666666,223.29166666666666,2024,8,Monsoon,-6.708333333333329,-7.385321100917426
abbottabad,2024-08-04,67.41666666666667,17.037499999999998,24.629166666666666,11.762500000000001,83.41666666666667,3.6791666666666667,310.625,23.495833333333334,90.91666666666667,21.870833333333334,27.837500000000002,0.6083333333333334,0.6083333333333334,876.0333333333333,95.79166666666667,3.5666666666666664,158.0,139.0,2024,8,Monsoon,-16.70833333333333,-19.861317483902916
abbottabad,2024-08-05,73.375,21.925,31.458333333333332,17.8625,75.875,4.8500000000000005,386.6666666666667,24.3,88.45833333333333,22.1875,28.662499999999998,0.5916666666666667,0.5916666666666667,875.8083333333334,77.79166666666667,4.741666666666666,156.58333333333334,203.91666666666666,2024,8,Monsoon,5.958333333333329,8.838071693448695
abbottabad,2024-08-06,91.33333333333333,21.52916666666667,30.754166666666666,14.737499999999999,103.33333333333333,5.25,428.2083333333333,24.566666666666666,87.91666666666667,22.333333333333332,28.933333333333334,0.2041666666666667,0.2041666666666667,873.6166666666667,70.70833333333333,5.491666666666667,175.45833333333334,218.20833333333334,2024,8,Monsoon,17.95833333333333,24.474730266893804
abbottabad,2024-08-07,81.79166666666667,19.133333333333333,28.575,12.708333333333334,109.0,3.7916666666666665,359.1666666666667,23.90416666666667,87.79166666666667,21.7375,28.162499999999998,0.45416666666666666,0.45416666666666666,874.0500000000001,52.416666666666664,4.520833333333333,164.20833333333334,232.25,2024,8,Monsoon,-9.541666666666657,-10.447080291970794
