year_month,mean_aqi,max_aqi,observations
2024-07,118.32142857142857,169.57894736842104,70
2024-08,91.97943548387097,165.45833333333334,310
2024-09,103.33430555555556,172.20833333333334,300
2024-10,108.83709677419355,192.33333333333334,310
2024-11,139.60680555555555,351.0,300
2024-12,152.68077956989248,351.625,310
2025-01,155.9103494623656,341.5,310
2025-02,117.40788690476191,216.83333333333334,280
2025-03,96.58548387096774,188.54166666666666,310
2025-04,100.58527777777778,281.625,300
2025-05,121.13763440860214,486.0833333333333,310
2025-06,118.90166666666667,305.6666666666667,300
2025-07,116.10067204301076,199.25,310
2025-08,108.2654569892473,165.04166666666666,310
2025-09,99.03083333333333,163.125,300
2025-10,116.96048387096774,254.625,310
2025-11,139.73055555555555,274.7916666666667,300
2025-12,156.55994623655914,335.3333333333333,310
2026-01,161.74798387096774,355.9166666666667,310
2026-02,126.8342261904762,231.58333333333334,280
2026-03,102.03521505376345,187.08333333333334,310
2026-04,90.84194444444444,209.54166666666666,300
2026-05,109.9122311827957,240.25,310
2026-06,117.11208333333333,220.95833333333334,300
2026-07,123.17280000000001,301.6666666666667,250
