season,mean_aqi,median_aqi,max_aqi,days
Winter Smog,144.3865451388889,138.95833333333334,355.9166666666667,2400
Pre-Monsoon,109.81195054945054,103.625,486.0833333333333,1820
Monsoon,106.94722522522522,102.16666666666667,301.6666666666667,1850
Other,106.10456989247311,96.08333333333334,254.625,1240
