feature,importance
pm2_5__mean,25.78225974193683
pm2_5__max,3.617966768547279
aqi_peak_excess,1.7772921684936702
future_wind_speed_10m__mean,1.0167733677079982
pm10__max,0.817725390037129
us_aqi__median,0.7979894231716838
us_aqi__max,0.7332601882440266
future_ventilation_proxy,0.7047443207144994
aqi_mean_change_1d,0.6451764898841961
ozone__max,0.6165023560764478
future_wind_direction_10m__min,0.6154647220903711
pm10__mean,0.5678811973728587
us_aqi__median__trend7,0.4982735233215152
future_temperature_2m__max,0.4928839463953755
us_aqi__std,0.4794652986264077
future_wind_speed_10m__max,0.4554311826737591
sulphur_dioxide__mean,0.4467416464221813
pm10__mean__trend7,0.417013216181035
wind_speed_10m__max,0.40141780453698905
us_aqi__median__trend3,0.39237353671460745
us_aqi__median__trend14,0.3752044653925161
pm2_5__mean__trend3,0.36895624848847225
ozone__mean__trend7,0.3107655479111547
future_temperature_2m__mean,0.301888038374859
us_aqi__max__roll14_q25,0.29478268811212505
future_wind_v,0.2925412750227288
nitrogen_dioxide__max__lag1,0.2863171344013693
future_rain_washout,0.2589760754168154
pm2_5__max__lag1,0.24474830146262264
pm2_5__max__trend3,0.23810492908673198
