model,rmse,mae,r2,bias
PyTorch MLP,22.67536059128246,18.16137242750688,0.5433592037863596,13.15229679107666
Persistence baseline,20.64119204719383,13.248568093270968,0.6216133080369948,-0.07090160832260657
